"DisplayName","UserPrincipalName","Department","JobTitle","Id"
"Alex Adams 1","alex.adams1@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","779983c9-44cb-42cb-9f72-47763dcc1897"
"Blake Baker 2","blake.baker2@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","7657e3c6-7028-49ec-9f7a-b33c1a2585b2"
"Cameron Chen 3","cameron.chen3@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","9260911e-0ba9-4d08-b680-05e5e4370443"
"Casey Davis 4","casey.davis4@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","5220e52b-4bce-44a5-b8ab-2cb0ce3f9428"
"Dakota Evans 5","dakota.evans5@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","efd7977e-9847-4df5-afae-470b121346f9"
"Drew Foster 6","drew.foster6@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","1302ff8a-344f-4f02-b4b6-efbcf90c7e36"
"Elliott Garcia 7","elliott.garcia7@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","258b8854-e8d9-4da3-b0b0-c3fa7c7f54c2"
"Finley Harris 8","finley.harris8@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","5a06ac35-b24a-411b-86da-c952ee8d6930"
"Harper Irving 9","harper.irving9@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","0f2783e3-7e7c-4833-9509-79256e078fe1"
"Jordan Jones 10","jordan.jones10@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","2b4eb750-8aaa-4118-b29f-70716d6ee748"
"Kennedy Kim 11","kennedy.kim11@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","f8944b24-2a91-4c43-a5b1-b0065dec1eed"
"Lane Lewis 12","lane.lewis12@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","fb693243-43db-42fa-85a5-32660e780476"
"Morgan Moore 13","morgan.moore13@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","adfb992f-b01e-4ee0-a5ed-2220d4cf7954"
"Parker Nelson 14","parker.nelson14@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","b4f5fbfb-0726-412c-bb55-6c1a7600855c"
"Quinn Ortiz 15","quinn.ortiz15@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","128d0cbb-c0ce-44d0-9b65-b89359c1f78c"
"Reese Patel 16","reese.patel16@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","52402d67-45f1-43bc-b75a-5f9922d44ac1"
"Riley Quinn 17","riley.quinn17@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","73670ca2-d247-4261-836e-0c2adee34a16"
"Sage Rivera 18","sage.rivera18@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","181ae3a2-1609-44b0-a9b5-6231bf18dac3"
"Skyler Smith 19","skyler.smith19@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","31592093-9c2d-426d-ae8f-fbdbadf2b262"
"Taylor Torres 20","taylor.torres20@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","589ffe29-17fb-45f7-83d5-fa00cbd1705d"
"Avery Underwood 21","avery.underwood21@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","3293f128-5f9e-46c5-b634-84fe30247635"
"Bailey Vargas 22","bailey.vargas22@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","d300b2f2-3ec1-4dcb-a83b-0d3310ac44f2"
"Charlie Walsh 23","charlie.walsh23@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","ead1c324-eb8d-42e3-97fd-009b020b0d61"
"Dylan Xavier 24","dylan.xavier24@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","751d517b-f15a-4f5a-8f62-9af23424eb6f"
"Emerson Yang 25","emerson.yang25@omniverse689.onmicrosoft.com","Engineering","Cloud Engineer","8ac42183-16f7-4233-aeaa-12817d772dfa"
"Alex Adams 26","alex.adams26@omniverse689.onmicrosoft.com","IT","Systems Administrator","64e4a1fa-2d0d-4247-8f9f-ca8ad17a86ee"
"Blake Baker 27","blake.baker27@omniverse689.onmicrosoft.com","IT","Systems Administrator","18f8fc13-1783-4f29-a463-64e25dee9c81"
"Cameron Chen 28","cameron.chen28@omniverse689.onmicrosoft.com","IT","Systems Administrator","1ee69553-8ce3-4242-9d7a-7e2dcb1209c0"
"Casey Davis 29","casey.davis29@omniverse689.onmicrosoft.com","IT","Systems Administrator","f45bd8f7-363c-481f-84f4-811ded9cf9bb"
"Dakota Evans 30","dakota.evans30@omniverse689.onmicrosoft.com","IT","Systems Administrator","b8af6875-941d-4679-b757-a6c958957a80"
"Drew Foster 31","drew.foster31@omniverse689.onmicrosoft.com","IT","Systems Administrator","b0a0168b-290f-4523-9e45-1bcc52e504f6"
"Elliott Garcia 32","elliott.garcia32@omniverse689.onmicrosoft.com","IT","Systems Administrator","19b2a544-2a37-4663-a2eb-c45e7909be42"
"Finley Harris 33","finley.harris33@omniverse689.onmicrosoft.com","IT","Systems Administrator","0a7ca963-495d-4913-b4be-a6ca9973009a"
"Harper Irving 34","harper.irving34@omniverse689.onmicrosoft.com","IT","Systems Administrator","b4f2b2a7-5cac-457c-905f-a5e9c45f4e48"
"Jordan Jones 35","jordan.jones35@omniverse689.onmicrosoft.com","IT","Systems Administrator","aa262503-59c5-4140-b76d-6700b2bbc704"
"Kennedy Kim 36","kennedy.kim36@omniverse689.onmicrosoft.com","IT","Systems Administrator","621143d2-b741-43f4-a5eb-8a43821ee2f2"
"Lane Lewis 37","lane.lewis37@omniverse689.onmicrosoft.com","IT","Systems Administrator","896dfb6d-5e41-4a42-b40b-807b5c5dfd2d"
"Morgan Moore 38","morgan.moore38@omniverse689.onmicrosoft.com","IT","Systems Administrator","1054872c-9012-496f-893e-532b6168b815"
"Parker Nelson 39","parker.nelson39@omniverse689.onmicrosoft.com","IT","Systems Administrator","48120fe3-ea20-4a95-9bb9-49ec751bb674"
"Quinn Ortiz 40","quinn.ortiz40@omniverse689.onmicrosoft.com","IT","Systems Administrator","ceb4c946-e1c5-4896-ad0b-0b1a1b38050b"
"Reese Patel 41","reese.patel41@omniverse689.onmicrosoft.com","IT","Systems Administrator","e2f3c0f9-a323-4c6b-927f-366c7e9f8662"
"Riley Quinn 42","riley.quinn42@omniverse689.onmicrosoft.com","IT","Systems Administrator","9395bd39-9c6e-4d77-8154-44456b1344c4"
"Sage Rivera 43","sage.rivera43@omniverse689.onmicrosoft.com","IT","Systems Administrator","f421d661-3c4b-4f1d-b73b-d41a776c1f8b"
"Skyler Smith 44","skyler.smith44@omniverse689.onmicrosoft.com","IT","Systems Administrator","1254a761-b8af-4d48-9ba5-95a6e6779c32"
"Taylor Torres 45","taylor.torres45@omniverse689.onmicrosoft.com","IT","Systems Administrator","6ab15eab-3d5c-4520-bad1-e05b4d6f8492"
"Avery Underwood 46","avery.underwood46@omniverse689.onmicrosoft.com","IT","Systems Administrator","1fca79d2-20d5-41ce-a4c3-0ad2bd0fb96b"
"Bailey Vargas 47","bailey.vargas47@omniverse689.onmicrosoft.com","IT","Systems Administrator","affd1372-c39d-4bb0-b4d6-afef9b703d89"
"Charlie Walsh 48","charlie.walsh48@omniverse689.onmicrosoft.com","IT","Systems Administrator","53b8893d-e394-4550-a44c-2f54475e190a"
"Dylan Xavier 49","dylan.xavier49@omniverse689.onmicrosoft.com","IT","Systems Administrator","b4bece96-d1ff-47c0-b90b-bd26481e579f"
"Emerson Yang 50","emerson.yang50@omniverse689.onmicrosoft.com","IT","Systems Administrator","efea2a3e-2a04-411b-abbc-93e539b8557c"
"Alex Adams 51","alex.adams51@omniverse689.onmicrosoft.com","Security","Security Analyst","d784080e-daa8-43fa-b97a-e3020b567a82"
"Blake Baker 52","blake.baker52@omniverse689.onmicrosoft.com","Security","Security Analyst","faab511b-3579-4f2d-9c13-b025636fe23f"
"Cameron Chen 53","cameron.chen53@omniverse689.onmicrosoft.com","Security","Security Analyst","ee342aab-c6b2-4c48-b494-920083b8cadc"
"Casey Davis 54","casey.davis54@omniverse689.onmicrosoft.com","Security","Security Analyst","defa6de2-de05-49c1-bf49-4fecb62a418f"
"Dakota Evans 55","dakota.evans55@omniverse689.onmicrosoft.com","Security","Security Analyst","d74e8f1c-2636-46cb-a1e7-d022856331f2"
"Drew Foster 56","drew.foster56@omniverse689.onmicrosoft.com","Security","Security Analyst","550e272a-8100-45e9-86f8-7615bf361498"
"Elliott Garcia 57","elliott.garcia57@omniverse689.onmicrosoft.com","Security","Security Analyst","3bf6805c-f59c-4b22-821b-f44339894f4b"
"Finley Harris 58","finley.harris58@omniverse689.onmicrosoft.com","Security","Security Analyst","c3469a96-d557-4a05-ba50-279a50f54a4c"
"Harper Irving 59","harper.irving59@omniverse689.onmicrosoft.com","Security","Security Analyst","c76caa2a-09f4-4f2a-b7a2-e68ecb25d926"
"Jordan Jones 60","jordan.jones60@omniverse689.onmicrosoft.com","Security","Security Analyst","0db3aaa8-629d-4283-8512-167043c03c2c"
"Kennedy Kim 61","kennedy.kim61@omniverse689.onmicrosoft.com","Security","Security Analyst","6a91e2d7-8921-4423-8d35-da153887c867"
"Lane Lewis 62","lane.lewis62@omniverse689.onmicrosoft.com","Security","Security Analyst","b6f68e62-301f-4f3c-8e41-34eccb300970"
"Morgan Moore 63","morgan.moore63@omniverse689.onmicrosoft.com","Security","Security Analyst","170faa5d-b3ce-4348-946e-54efe877c578"
"Parker Nelson 64","parker.nelson64@omniverse689.onmicrosoft.com","Security","Security Analyst","2a473133-04dd-4bb4-9997-21915e4d031f"
"Quinn Ortiz 65","quinn.ortiz65@omniverse689.onmicrosoft.com","Security","Security Analyst","ef70f25d-bb37-4f71-9ba4-b44f3f5175e0"
"Reese Patel 66","reese.patel66@omniverse689.onmicrosoft.com","Security","Security Analyst","947bf180-c282-4e3d-8087-80b212ce1ec8"
"Riley Quinn 67","riley.quinn67@omniverse689.onmicrosoft.com","Security","Security Analyst","d2f5c18c-3ee3-4e7d-9381-f4f7dc88a712"
"Sage Rivera 68","sage.rivera68@omniverse689.onmicrosoft.com","Security","Security Analyst","dec12866-7647-4572-a23b-51b25fe2a2a1"
"Skyler Smith 69","skyler.smith69@omniverse689.onmicrosoft.com","Security","Security Analyst","6bbe88bd-c48e-456c-9353-eb65385daa5e"
"Taylor Torres 70","taylor.torres70@omniverse689.onmicrosoft.com","Security","Security Analyst","c966a309-83a3-4e3b-81eb-25df73509606"
"Avery Underwood 71","avery.underwood71@omniverse689.onmicrosoft.com","Security","Security Analyst","d9bb0043-3c00-4c03-9592-2e4e2158372d"
