"Role","DisplayName","UserPrincipalName","Department","AccountEnabled"
"Global Administrator","Keshawn Lynch","KeshawnLynch@Omniverse689.onmicrosoft.com",,"True"
"Global Administrator","Break Glass Admin 01","breakglass01@Omniverse689.onmicrosoft.com",,"True"
"Global Administrator","Break Glass Admin 02","breakglass02@Omniverse689.onmicrosoft.com",,"True"
"Global Administrator","Alex Adams 26","alex.adams26@omniverse689.onmicrosoft.com","IT","True"
"Global Administrator","Alex Adams 51","alex.adams51@omniverse689.onmicrosoft.com","Security","True"
"Global Administrator","Alex Adams 101","alex.adams101@omniverse689.onmicrosoft.com","HR","True"
"Privileged Role Administrator","Alex Adams 26","alex.adams26@omniverse689.onmicrosoft.com","IT","True"
"Privileged Role Administrator","Alex Adams 151","alex.adams151@omniverse689.onmicrosoft.com","Marketing","True"
"Security Administrator","Alex Adams 26","alex.adams26@omniverse689.onmicrosoft.com","IT","True"
"User Administrator","Alex Adams 76","alex.adams76@omniverse689.onmicrosoft.com","Finance","False"
