"DisplayName","UserPrincipalName","Department"
"Alex Adams 1","alex.adams1@omniverse689.onmicrosoft.com","Engineering"
"Alex Adams 101","alex.adams101@omniverse689.onmicrosoft.com","HR"
"Alex Adams 126","alex.adams126@omniverse689.onmicrosoft.com","Legal"
"Alex Adams 151","alex.adams151@omniverse689.onmicrosoft.com","Marketing"
"Alex Adams 176","alex.adams176@omniverse689.onmicrosoft.com","Operations"
"Alex Adams 26","alex.adams26@omniverse689.onmicrosoft.com","IT"
"Alex Adams 51","alex.adams51@omniverse689.onmicrosoft.com","Security"
"Avery Stone","avery.stone@Omniverse689.onmicrosoft.com","Engineering"
"Avery Underwood 121","avery.underwood121@omniverse689.onmicrosoft.com","HR"
"Avery Underwood 146","avery.underwood146@omniverse689.onmicrosoft.com","Legal"
"Avery Underwood 171","avery.underwood171@omniverse689.onmicrosoft.com","Marketing"
"Avery Underwood 196","avery.underwood196@omniverse689.onmicrosoft.com","Operations"
"Avery Underwood 21","avery.underwood21@omniverse689.onmicrosoft.com","Engineering"
"Avery Underwood 46","avery.underwood46@omniverse689.onmicrosoft.com","IT"
"Avery Underwood 71","avery.underwood71@omniverse689.onmicrosoft.com","Security"
"Avery Underwood 96","avery.underwood96@omniverse689.onmicrosoft.com","Finance"
"Bailey Vargas 122","bailey.vargas122@omniverse689.onmicrosoft.com","HR"
"Bailey Vargas 147","bailey.vargas147@omniverse689.onmicrosoft.com","Legal"
"Bailey Vargas 172","bailey.vargas172@omniverse689.onmicrosoft.com","Marketing"
"Bailey Vargas 197","bailey.vargas197@omniverse689.onmicrosoft.com","Operations"
"Bailey Vargas 22","bailey.vargas22@omniverse689.onmicrosoft.com","Engineering"
"Bailey Vargas 47","bailey.vargas47@omniverse689.onmicrosoft.com","IT"
"Bailey Vargas 72","bailey.vargas72@omniverse689.onmicrosoft.com","Security"
"Bailey Vargas 97","bailey.vargas97@omniverse689.onmicrosoft.com","Finance"
"Blake Baker 102","blake.baker102@omniverse689.onmicrosoft.com","HR"
"Blake Baker 127","blake.baker127@omniverse689.onmicrosoft.com","Legal"
"Blake Baker 152","blake.baker152@omniverse689.onmicrosoft.com","Marketing"
"Blake Baker 177","blake.baker177@omniverse689.onmicrosoft.com","Operations"
"Blake Baker 2","blake.baker2@omniverse689.onmicrosoft.com","Engineering"
"Blake Baker 27","blake.baker27@omniverse689.onmicrosoft.com","IT"
"Blake Baker 52","blake.baker52@omniverse689.onmicrosoft.com","Security"
"Break Glass Admin 01","breakglass01@Omniverse689.onmicrosoft.com",
"Break Glass Admin 02","breakglass02@Omniverse689.onmicrosoft.com",
"Cameron Chen 103","cameron.chen103@omniverse689.onmicrosoft.com","HR"
"Cameron Chen 128","cameron.chen128@omniverse689.onmicrosoft.com","Legal"
"Cameron Chen 153","cameron.chen153@omniverse689.onmicrosoft.com","Marketing"
"Cameron Chen 178","cameron.chen178@omniverse689.onmicrosoft.com","Operations"
