"DisplayName","UserPrincipalName","Department","PasswordPolicies"
"Alex Adams 176","alex.adams176@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Blake Baker 177","blake.baker177@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Cameron Chen 178","cameron.chen178@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Casey Davis 179","casey.davis179@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Dakota Evans 180","dakota.evans180@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Drew Foster 181","drew.foster181@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Elliott Garcia 182","elliott.garcia182@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Finley Harris 183","finley.harris183@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Harper Irving 184","harper.irving184@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
"Jordan Jones 185","jordan.jones185@omniverse689.onmicrosoft.com","Operations","DisablePasswordExpiration"
